3818_s_state_st_chicago_il_60609,3818 S STATE ST chicago IL 60609,41.82520764,-87.62642734,Retail,Payless Shoe Source,216 E 35th St,60616,41.83118,-87.62063,0.509441263
3818_s_state_st_chicago_il_60609,3818 S STATE ST chicago IL 60609,41.82520764,-87.62642734,Retail,US Cellular,120 E 35th St,60616,41.83114,-87.62241,0.45925911
5150_s_ashland_ave_chicago_il_60609,5150 S ASHLAND AVE chicago IL 60609,41.80131822,-87.66477648,K-12 Schools,Arthur A Libby Elementary School,5300 S Loomis Blvd,60609,41.79677,-87.65989,0.402747396
5150_s_ashland_ave_chicago_il_60609,5150 S ASHLAND AVE chicago IL 60609,41.80131822,-87.66477648,K-12 Schools,Cesar E Chavez Multicultural Academic Center ES,4747 S Marshfield Ave,60609,41.80804,-87.66586,0.467918175
5150_s_ashland_ave_chicago_il_60609,5150 S ASHLAND AVE chicago IL 60609,41.80131822,-87.66477648,K-12 Schools,Chicago Intl Charter - Basil,1816 W Garfield Blvd,60609,41.79409,-87.67019,0.572173794
5150_s_ashland_ave_chicago_il_60609,5150 S ASHLAND AVE chicago IL 60609,41.80131822,-87.66477648,K-12 Schools,Ellen H Richards Career Academy High School,5009 S Laflin St,60609,41.80277,-87.66224,0.164762024
5150_s_ashland_ave_chicago_il_60609,5150 S ASHLAND AVE chicago IL 60609,41.80131822,-87.66477648,K-12 Schools,John H Hamline Elementary School,4747 S Bishop St,60609,41.80732,-87.66128,0.452239249
5150_s_ashland_ave_chicago_il_60609,5150 S ASHLAND AVE chicago IL 60609,41.80131822,-87.66477648,K-12 Schools,Richard J Daley Elementary Academy,5024 S Wolcott Ave,60609,41.80261,-87.6721,0.387741728
5150_s_ashland_ave_chicago_il_60609,5150 S ASHLAND AVE chicago IL 60609,41.80131822,-87.66477648,K-12 Schools,Robert Fulton Elementary School,5300 S Hermitage Ave,60609,41.79754,-87.66843,0.321909292
5205_s_ashland_ave_chicago_il_60609,5205 S ASHLAND AVE chicago IL 60609,41.79940278,-87.66472862,K-12 Schools,Arthur A Libby Elementary School,5300 S Loomis Blvd,60609,41.79677,-87.65989,0.308653351
5205_s_ashland_ave_chicago_il_60609,5205 S ASHLAND AVE chicago IL 60609,41.79940278,-87.66472862,K-12 Schools,Cesar E Chavez Multicultural Academic Center ES,4747 S Marshfield Ave,60609,41.80804,-87.66586,0.599801042
5205_s_ashland_ave_chicago_il_60609,5205 S ASHLAND AVE chicago IL 60609,41.79940278,-87.66472862,K-12 Schools,Chicago Intl Charter - Basil,1816 W Garfield Blvd,60609,41.79409,-87.67019,0.46262168
5205_s_ashland_ave_chicago_il_60609,5205 S ASHLAND AVE chicago IL 60609,41.79940278,-87.66472862,K-12 Schools,Ellen H Richards Career Academy High School,5009 S Laflin St,60609,41.80277,-87.66224,0.265710011
5205_s_ashland_ave_chicago_il_60609,5205 S ASHLAND AVE chicago IL 60609,41.79940278,-87.66472862,K-12 Schools,John H Hamline Elementary School,4747 S Bishop St,60609,41.80732,-87.66128,0.575322311
5205_s_ashland_ave_chicago_il_60609,5205 S ASHLAND AVE chicago IL 60609,41.79940278,-87.66472862,K-12 Schools,Richard J Daley Elementary Academy,5024 S Wolcott Ave,60609,41.80261,-87.6721,0.439749788
5205_s_ashland_ave_chicago_il_60609,5205 S ASHLAND AVE chicago IL 60609,41.79940278,-87.66472862,K-12 Schools,Robert Fulton Elementary School,5300 S Hermitage Ave,60609,41.79754,-87.66843,0.230101924
5242_s_ashland_ave_chicago_il_60609,5242 S ASHLAND AVE chicago IL 60609,41.79872181,-87.66470966,K-12 Schools,Arthur A Libby Elementary School,5300 S Loomis Blvd,60609,41.79677,-87.65989,0.282609557
5242_s_ashland_ave_chicago_il_60609,5242 S ASHLAND AVE chicago IL 60609,41.79872181,-87.66470966,K-12 Schools,Chicago Intl Charter - Basil,1816 W Garfield Blvd,60609,41.79409,-87.67019,0.426874306
5242_s_ashland_ave_chicago_il_60609,5242 S ASHLAND AVE chicago IL 60609,41.79872181,-87.66470966,K-12 Schools,Ellen H Richards Career Academy High School,5009 S Laflin St,60609,41.80277,-87.66224,0.307366313
5242_s_ashland_ave_chicago_il_60609,5242 S ASHLAND AVE chicago IL 60609,41.79872181,-87.66470966,K-12 Schools,Richard J Daley Elementary Academy,5024 S Wolcott Ave,60609,41.80261,-87.6721,0.466052689
5242_s_ashland_ave_chicago_il_60609,5242 S ASHLAND AVE chicago IL 60609,41.79872181,-87.66470966,K-12 Schools,Robert Fulton Elementary School,5300 S Hermitage Ave,60609,41.79754,-87.66843,0.208367758
5120_s_paulina_st_chicago_il_60609,5120 S PAULINA ST chicago IL 60609,41.80092744,-87.66720262,K-12 Schools,Arthur A Libby Elementary School,5300 S Loomis Blvd,60609,41.79677,-87.65989,0.473843546
