Address,Street Number,Street Direction,Street Name,Street Type,Zip Code,Lat,Lot,HT Score,Nearest Transit,Distance to Nearest Transity,Density 2010,Density 2012
1235 E 46TH ST chicago IL 60653,1235,E,46TH,ST,60653,41.81099458,-87.59605526,49.68,47th St. (Kenwood) Metra,0.34,13.5,12.35
4541 S CHAMPLAIN AVE chicago IL 60653,4541,S,CHAMPLAIN,AVE,60653,41.81237058,-87.60989321,34.55,47th-Green,0.68,14.94,11.27
4408 S PRAIRIE AVE chicago IL 60653,4408,S,PRAIRIE,AVE,60653,41.81463002,-87.6197392,44.72,43rd,0.18,12.63,12.02
2214 W 54TH PL chicago IL 60609,2214,W,54TH,PL,60609,41.79478038,-87.68032272,39.24,Western-Orange,0.94,7.72,8.11
822 W 51ST PL chicago IL 60609,822,W,51ST,PL,60609,41.80066312,-87.64586125,37.37,Garfield-Red,1.13,6.16,6.23
5430 S UNION AVE chicago IL 60609,5430,S,UNION,AVE,60609,41.79528856,-87.64275353,40.47,Garfield-Red,0.8,5.57,6.28
5351 S PEORIA ST chicago IL 60609,5351,S,PEORIA,ST,60609,41.79664363,-87.64767736,38.26,Garfield-Red,1.15,6.26,6.86
740 E 41ST ST chicago IL 60653,740,E,41ST,ST,60653,41.82035964,-87.60842311,36.94,43rd,0.82,13.34,11.66
3632 S GILES AVE chicago IL 60653,3632,S,GILES,AVE,60653,41.82862251,-87.61928028,35.01,35-Bronzeville-IIT,0.53,17.17,16.97
4578 S OAKENWALD AVE chicago IL 60653,4578,S,OAKENWALD,AVE,60653,41.81198494,-87.59405748,48.44,47th St. (Kenwood) Metra,0.28,13.78,12.82
428 E 47TH ST chicago IL 60653,428,E,47TH,ST,60653,41.80939905,-87.61562677,36.02,47th-Green,0.22,12.06,11.56
520 E 45TH ST chicago IL 60653,520,E,45TH,ST,60653,41.81306799,-87.61320275,52.38,43rd,0.51,13.24,10.34
3350 S INDIANA AVE chicago IL 60616,3350,S,INDIANA,AVE,60616,41.83379138,-87.62181981,33.7,35-Bronzeville-IIT,0.34,18.44,20.82
67 E 37TH PL chicago IL 60653,67,E,37TH,PL,60653,41.82648084,-87.62416372,26.45,Indiana,0.48,13.81,13.71
4227 S WENTWORTH AVE chicago IL 60609,4227,S,WENTWORTH,AVE,60609,41.81736756,-87.63121837,27.07,47th-Red,0.65,9.39,10.47
4839 S WOOD ST chicago IL 60609,4839,S,WOOD,ST,60609,41.80602076,-87.6697637,35.73,Western-Orange,1,12.9,13.41
5412 S LOOMIS BLVD chicago IL 60609,5412,S,LOOMIS,BLVD,60609,41.7955915,-87.65976965,38.87,Ashland/63rd,1.58,7.03,8.25
